_Category	Routine Service	Care Category	Service	freq	F2F	Doc	Physician
Measurements	Intestinal infectious diseases	Acute	BP	1	2	1	1
Measurements	Intestinal infectious diseases	Acute	Weight	1	2	1	1
Measurements	Intestinal infectious diseases	Acute	Temp	1	2	1	1
Patient History	Intestinal infectious diseases	Acute	Data Collection	1	2	1	1
Physical Exam	Intestinal infectious diseases	Acute	Problem Oriented Physical	1	2	1	1
Lab	Intestinal infectious diseases	Acute	Orders	1	2	1	1
Lab	Intestinal infectious diseases	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Intestinal infectious diseases	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Intestinal infectious diseases	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Joint and muscle pain	Acute	BP	1	2	1	1
Measurements	Joint and muscle pain	Acute	Weight	1	2	1	1
Measurements	Joint and muscle pain	Acute	Temp	1	2	1	1
Patient History	Joint and muscle pain	Acute	Data Collection	1	2	1	1
Physical Exam	Joint and muscle pain	Acute	Problem Oriented Physical	1	2	1	1
Lab	Joint and muscle pain	Acute	Orders	1	2	1	1
Lab	Joint and muscle pain	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Joint and muscle pain	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Joint and muscle pain	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Migraine	Acute	BP	1	2	1	1
Measurements	Migraine	Acute	Weight	1	2	1	1
Measurements	Migraine	Acute	Temp	1	2	1	1
Patient History	Migraine	Acute	Data Collection	1	2	1	1
Physical Exam	Migraine	Acute	Problem Oriented Physical	1	2	1	1
Lab	Migraine	Acute	Orders	1	2	1	1
Lab	Migraine	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Migraine	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Migraine	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Minor trauma	Acute	BP	1	2	1	1
Measurements	Minor trauma	Acute	Weight	1	2	1	1
Measurements	Minor trauma	Acute	Temp	1	2	1	1
Patient History	Minor trauma	Acute	Data Collection	1	2	1	1
Physical Exam	Minor trauma	Acute	Problem Oriented Physical	1	2	1	1
Lab	Minor trauma	Acute	Orders	1	2	1	1
Lab	Minor trauma	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Minor trauma	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Minor trauma	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Otitis media	Acute	BP	1	2	1	1
Measurements	Otitis media	Acute	Weight	1	2	1	1
Measurements	Otitis media	Acute	Temp	1	2	1	1
Patient History	Otitis media	Acute	Data Collection	1	2	1	1
Physical Exam	Otitis media	Acute	Problem Oriented Physical	1	2	1	1
Lab	Otitis media	Acute	Orders	1	2	1	1
Lab	Otitis media	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Otitis media	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Otitis media	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Skin infection	Acute	BP	1	2	1	1
Measurements	Skin infection	Acute	Weight	1	2	1	1
Measurements	Skin infection	Acute	Temp	1	2	1	1
Patient History	Skin infection	Acute	Data Collection	1	2	1	1
Physical Exam	Skin infection	Acute	Problem Oriented Physical	1	2	1	1
Lab	Skin infection	Acute	Orders	1	2	1	1
Lab	Skin infection	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Skin infection	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Skin infection	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	"Urinary tract infections, vaginitis and urethritis"	Acute	BP	1	2	1	1
Measurements	"Urinary tract infections, vaginitis and urethritis"	Acute	Weight	1	2	1	1
Measurements	"Urinary tract infections, vaginitis and urethritis"	Acute	Temp	1	2	1	1
Patient History	"Urinary tract infections, vaginitis and urethritis"	Acute	Data Collection	1	2	1	1
Physical Exam	"Urinary tract infections, vaginitis and urethritis"	Acute	Problem Oriented Physical	1	2	1	1
Lab	"Urinary tract infections, vaginitis and urethritis"	Acute	Orders	1	2	1	1
Lab	"Urinary tract infections, vaginitis and urethritis"	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	"Urinary tract infections, vaginitis and urethritis"	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	"Urinary tract infections, vaginitis and urethritis"	Acute	Visit wrap-up/care planning	1	2	1	1
