_Category	Routine Service	Care Category	Service	Demand
Patient History	Skin infection	Acute	Data Collection	108593
Physical Exam	Skin infection	Acute	Problem Oriented Physical	108593
Lab	Skin infection	Acute	Orders	108593
Lab	Skin infection	Acute	Results Consultation:	108593
Pharmacological Treatment/Mgmt	Skin infection	Acute	Orders/scripts	108593
Visit wrap-up/care planning	Skin infection	Acute	Visit wrap-up/care planning	108593
Measurements	"Urinary tract infections, vaginitis and urethritis"	Acute	BP	32385
Measurements	"Urinary tract infections, vaginitis and urethritis"	Acute	Weight	32385
Measurements	"Urinary tract infections, vaginitis and urethritis"	Acute	Temp	32385
Patient History	"Urinary tract infections, vaginitis and urethritis"	Acute	Data Collection	32385
Physical Exam	"Urinary tract infections, vaginitis and urethritis"	Acute	Problem Oriented Physical	32385
Lab	"Urinary tract infections, vaginitis and urethritis"	Acute	Orders	32385
Lab	"Urinary tract infections, vaginitis and urethritis"	Acute	Results Consultation:	32385
Pharmacological Treatment/Mgmt	"Urinary tract infections, vaginitis and urethritis"	Acute	Orders/scripts	32385
Visit wrap-up/care planning	"Urinary tract infections, vaginitis and urethritis"	Acute	Visit wrap-up/care planning	32385
